review_id,customer_feedback,date
1,The product quality is excellent and delivery was fast. Very satisfied!,2024-01-15
2,هذا المنتج رائع جدا. أنا سعيد بالشراء,2024-01-16
3,Terrible experience. Product arrived damaged and customer service was unhelpful.,2024-01-17
4,المنتج سيء جدا ولا يستحق السعر,2024-01-18
5,Average product. Nothing special but does the job.,2024-01-19
6,المنتج عادي، لا جيد ولا سيء,2024-01-20
7,Amazing quality! Exceeded my expectations. Highly recommend!,2024-01-21
8,الخدمة ممتازة والتوصيل سريع جدا,2024-01-22
9,Worst purchase ever. Waste of money.,2024-01-23
10,منتج جيد بسعر معقول,2024-01-24
11,Great value for money. Will buy again.,2024-01-25
12,خدمة العملاء سيئة للغاية,2024-01-26
13,The item is okay but shipping took too long.,2024-01-27
14,أنصح بهذا المنتج بشدة، جودة عالية,2024-01-28
15,Not satisfied with the purchase. Expected better quality.,2024-01-29
16,منتج ممتاز وسعر مناسب، شكرا لكم,2024-01-30
17,Good product but could be improved.,2024-02-01
18,التوصيل متأخر ولكن المنتج جيد,2024-02-02
19,Fantastic! Best purchase this year!,2024-02-03
20,سيء جدا، لن أشتري مرة أخرى,2024-02-04
